artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
Nathaniel Bassey,Wonderful Wonder,04RTQWoTLUNcIzBqlnpXdZ,Wonderful Wonder,32JB9skOJnLfvWdq8J2DVa,2023-02-17,293779,31,False,0.687,0.847,7,-4.756,0,0.0693,0.313,0.0,0.237,0.73,99.966,4,[]
Nathaniel Bassey,We Bless Your Name,1LjUBsuPubGtT5eLdYwTXO,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,254813,27,False,0.49,0.59,10,-6.552,1,0.0282,0.168,0.0,0.104,0.258,106.045,4,[]
Nathaniel Bassey,Take Your Glory,6H6lrFFJGDrHUAQtRiEwI6,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,291973,27,False,0.278,0.186,3,-11.161,1,0.0282,0.792,0.0,0.109,0.13,82.674,5,[]
Nathaniel Bassey,I Love You,5oi66r498CMvgO3Lt9T3Cy,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,436924,28,False,0.388,0.383,5,-5.914,1,0.0269,0.857,5.08e-05,0.102,0.17,108.225,4,[]
Nathaniel Bassey,Resurrection & the Life,30YCmqIKMWCVdERVn84os4,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,411387,28,False,0.361,0.505,3,-6.755,1,0.0363,0.55,1.61e-06,0.359,0.178,123.875,4,['Olumide Iyun']
Nathaniel Bassey,The Living God (feat. Cynthia Maccauley),290RTqSQbD1dRxwe6C4oza,Revival Flames,3ouj0BXXkGizxWYTtcPK3y,2017-05-08,221022,26,False,0.33,0.32,0,-7.479,1,0.0305,0.926,0.0,0.164,0.241,89.691,4,['Cynthia MacCauley']
Nathaniel Bassey,I Know You Are Here,3IGL5erTPIQAAPK4RJjX1G,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,233507,26,False,0.352,0.0882,8,-15.054,1,0.0493,0.976,0.0,0.0827,0.327,81.962,4,[]
Nathaniel Bassey,You Are Holy (Worship Medly),62eYCF3uYLQ5MqDeb3crVy,You Are Holy (Worship Medly),5EEwwUdnMUH4oSA0yJfAoF,2019-03-27,450475,24,False,0.405,0.549,3,-6.232,1,0.0309,0.402,0.0,0.0806,0.25,106.116,4,"['Mahalia Buchanan', 'Joe Mettle']"
Nathaniel Bassey,Glorious God (feat. Chimdi Ochei),3r0roto5RJwbmPIsMltiy0,Glorious God (feat. Chimdi Ochei),6DEoKyBLUouRMNBdguaLsW,2014-08-01,325161,26,False,0.529,0.704,10,-3.907,1,0.0359,0.199,0.0,0.191,0.382,123.91,4,['Chimdi Ochei']
Nathaniel Bassey,I Believe in You (feat. Cindy Pasley),1lK7ij4EDoIbgFeb2h0nUL,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,294165,26,False,0.481,0.275,0,-9.816,1,0.0299,0.816,0.0,0.104,0.146,123.627,4,['Cindy Pasley']
Nathaniel Bassey,Call on Me,3onAjULDuptX9CSYhTqdyg,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,420870,25,False,0.595,0.766,0,-6.141,1,0.0364,0.00988,0.0,0.145,0.182,136.06,4,[]
Nathaniel Bassey,Kiss Me Again - Songs of Solomon 1:2,7iFssZXvudXHv8XsSAqlUr,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,468205,23,False,0.395,0.533,8,-8.29,1,0.0457,0.415,0.0,0.255,0.184,159.757,3,[]
Nathaniel Bassey,By the Spirit,4oPlIMmuhRnKJxTSSItSFr,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,348213,21,False,0.617,0.771,6,-5.228,1,0.0626,0.245,0.0,0.0899,0.482,140.042,4,['Elijah Oyelade']
Nathaniel Bassey,True to Your Word,7MxvXCkeWv3KuBod4MxHCi,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,275448,23,False,0.251,0.41,6,-7.28,1,0.0292,0.793,4.06e-06,0.124,0.35,78.865,3,['Grace Omosebi']
Nathaniel Bassey,Jesus (feat. Mayra Alvarez),7FpsHQwKYQyos12rLmmGen,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,437564,24,False,0.407,0.477,3,-8.411,1,0.0317,0.607,0.000313,0.175,0.186,130.031,4,['Mayra Alvarez']
Nathaniel Bassey,Hallelujah-Amen,4UMiR9nNppjzdHwmZyHuKF,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,377720,22,False,0.593,0.594,1,-6.524,1,0.0474,0.0936,0.0,0.155,0.475,89.98,4,[]
Nathaniel Bassey,Elohim,08fO15LPANCmWqa8jmsLto,Someone's At The Door,7tmA7AWF5AsD8s74QnFmeL,2017-04-07,282122,24,False,0.274,0.207,8,-11.607,1,0.0325,0.941,1.96e-05,0.124,0.195,115.691,3,[]
