artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,release_type,duration,release_day,release_month,release_year
Nathaniel Bassey,Emi Mimo,2XUiEjDZu627rN02sKbEwb,Someone's At The Door,7tmA7AWF5AsD8s74QnFmeL,2017-04-07,0 days 00:04:32.483000,15,False,0.624,0.678,C,-6.457,Major,0.0346,0.314,1.15e-06,0.107,0.529,119.89,4,,Album,04:32,Friday,April,2017
Nathaniel Bassey,Halleluyah,1u0F7JPbjkyVSO8cbleME9,Someone's At The Door,7tmA7AWF5AsD8s74QnFmeL,2017-04-07,0 days 00:05:54.665000,15,False,0.661,0.469,C,-9.885,Major,0.0293,0.488,0.519,0.0581,0.187,120.017,4,,Album,05:54,Friday,April,2017
Nathaniel Bassey,When I Met Jesus (Trumpet Version),0w5uVdEYkqTVfiTv7wIbiV,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,0 days 00:04:02.547000,15,False,0.294,0.255,G,-9.52,Major,0.0324,0.787,0.877,0.25,0.297,114.347,3,,Album,04:02,Sunday,December,2018
Nathaniel Bassey,All I Need,7FRJHTv2hMNIjXdeqCUnRZ,Someone's At The Door,7tmA7AWF5AsD8s74QnFmeL,2017-04-07,0 days 00:04:47.007000,14,False,0.548,0.128,G#/Ab,-13.473,Major,0.0335,0.947,0.0,0.109,0.314,112.222,4,,Album,04:47,Friday,April,2017
Nathaniel Bassey,I Love You / Ama Medley,1e1ZGySYFHq2gmJA9OKd5J,I Love You / Ama Medley,1zIsMb48u13PBq6F6KbZpp,2020-12-20,0 days 00:06:36.684000,13,False,0.275,0.267,C,-10.012,Major,0.0281,0.875,4.1e-05,0.114,0.252,72.464,4,,Single,06:36,Sunday,December,2020
Nathaniel Bassey,Nothing Without Love,5pVPJ75QLHIyKK7nPm7XMA,Someone's At The Door,7tmA7AWF5AsD8s74QnFmeL,2017-04-07,0 days 00:05:42.831000,13,False,0.724,0.287,C,-11.012,Major,0.0405,0.808,0.000262,0.108,0.424,130.054,4,,Album,05:42,Friday,April,2017
Nathaniel Bassey,Halleluyah Eh,4Ci2iZHD2rEeMjpmGRSyiX,Green Worship 2.0,6Jse1gEBTt1UQGhO8MBwWR,2019-11-29,0 days 00:06:12.030000,5,False,0.552,0.799,C,-6.032,Major,0.0533,0.131,0.0,0.508,0.362,144.016,4,,Unknown,06:12,Friday,November,2019
Nathaniel Bassey,Imela (Live) [feat. Enitan Adaba],4JEwzA1RF8OUuLAHY9kRdg,Green Worship 1.0 (Live),3C0d6kHPNfgTU9670QQtC8,2018-02-19,0 days 00:06:46.498000,8,False,0.451,0.462,F#/Gb,-11.157,Major,0.032,0.0152,1.94e-06,0.317,0.419,138.831,4,Enitan Adaba,Unknown,06:46,Monday,February,2018
Nathaniel Bassey,Yeshua Hamashiach,26i6YjkTW3OMObpR9TBTR3,Green Worship 4.0,4C18rGHHTOjL4OaUt9rSiF,2021-09-18,0 days 00:05:28.625000,10,False,0.401,0.78,A,-3.861,Major,0.0419,0.0552,0.0,0.53,0.409,149.997,4,Various Artists,Unknown,05:28,Saturday,September,2021
Nathaniel Bassey,Groovin’,4U952wffpOwPoAUYm9eayL,New Jazz Stew Project: Revelation,4FCTp4KLgCoTpXwS4OoUbg,2004-10-06,0 days 00:06:30.680000,0,False,0.587,0.811,A,-10.367,Major,0.0518,0.201,0.891,0.188,0.545,112.99,4,,Unknown,06:30,Wednesday,October,2004
Nathaniel Bassey,Halleluya Eh - Live,3ifmkDsCrTTk1He0JhkJgl,Halleluya Eh (Live),4AXWuUOlp8KeH89wkWn9bC,2022-10-09,0 days 00:09:36.900000,0,False,0.463,0.704,F,-6.926,Major,0.127,0.712,0.0,0.39,0.672,140.675,4,,Unknown,09:36,Sunday,October,2022
Nathaniel Bassey,Powerful Worship,2fre7Ki1MBebwE0kWNSydk,Powerful Worship,2Bjc8sWDPry9VhBHXp7rQY,2020-01-01,0 days 00:57:09.680000,3,False,0.337,0.594,A#/Bb,-14.529,Major,0.12,0.0304,0.0,0.489,0.354,139.21,4,,Single,57:09,Wednesday,January,2020
Nathaniel Bassey,Good Times,6kPjIrmVWeM75c4SA8e0Te,New Jazz Stew Project: Revelation,4FCTp4KLgCoTpXwS4OoUbg,2004-10-06,0 days 00:05:51.507000,0,False,0.599,0.687,A#/Bb,-8.147,Major,0.0328,0.0613,0.618,0.126,0.608,141.93,4,,Unknown,05:51,Wednesday,October,2004
Nathaniel Bassey,Yashua - Live,2eH9VfQQlVChtSEEGlpQG3,Yashua (Live),7KVcbK6BwDyDpIUlPI5oQu,2022-10-08,0 days 00:09:10.400000,0,False,0.304,0.507,A#/Bb,-10.733,Major,0.0538,0.0623,8.36e-06,0.111,0.225,140.915,4,,Unknown,09:10,Saturday,October,2022
